id,skill
0,S001
1,S001
2,S004
3,S004
4,S001
5,S004
6,S001
7,S001
8,S001
9,S004
10,S001
11,S001
12,S001
13,S001
14,S001
15,S001
16,S004
17,S001
18,S004
19,S001
20,S001
21,S001
22,S003
23,S004
24,S001
25,S001
26,S001
27,S001
28,S004
29,S001
30,S004
31,S001
32,S001
33,S001
34,S001
35,S004
36,S001
37,S001
38,S001
39,S001
40,S001
41,S004
42,S001
43,S004
44,S001
45,S004
46,S004
47,S001
48,S004
49,S001
50,S004
51,S001
52,S001
53,S001
54,S004
55,S001
56,S004
57,S001
58,S004
59,S001
60,S001
61,S004
62,S001
63,S004
64,S001
65,S001
66,S001
67,S001
68,S004
69,S004
70,S001
71,S004
72,S001
73,S001
74,S001
75,S001
76,S001
77,S004
78,S001
79,S001
80,S001
81,S001
82,S004
83,S001
84,S001
85,S001
86,S001
87,S001
88,S004
89,S004
90,S004
91,S004
92,S004
93,S001
94,S001
95,S001
96,S001
97,S004
98,S001
99,S004
100,S001
101,S004
102,S001
103,S001
104,S004
105,S004
106,S001
107,S004
108,S001
109,S001
110,S004
111,S001
112,S004
113,S004
114,S001
115,S003
116,S004
117,S004
118,S004
119,S004
120,S001
121,S004
122,S004
123,S004
124,S001
125,S001
126,S001
127,S004
128,S001
129,S003
130,S001
131,S001
132,S001
133,S004
134,S001
135,S001
136,S001
137,S001
138,S001
139,S004
140,S004
141,S004
142,S004
143,S001
144,S004
145,S001
146,S001
147,S004
148,S004
149,S004
150,S004
151,S004
152,S001
153,S001
154,S004
155,S001
156,S004
157,S004
158,S004
159,S001
160,S004
161,S004
162,S001
163,S001
164,S001
165,S004
166,S001
167,S001
168,S004
169,S001
170,S001
171,S004
172,S004
173,S001
174,S001
175,S004
176,S004
177,S004
178,S001
179,S001
180,S001
181,S001
182,S004
183,S004
184,S001
185,S001
186,S001
187,S004
188,S004
189,S001
190,S004
191,S001
192,S001
193,S001
194,S001
195,S001
196,S001
197,S001
198,S004
199,S001
200,S004
201,S001
202,S004
203,S004
204,S004
205,S004
206,S004
207,S001
208,S001
209,S004
210,S001
211,S001
212,S004
213,S001
214,S001
215,S004
216,S001
217,S004
218,S004
219,S004
220,S004
221,S004
222,S004
223,S001
224,S001
225,S001
226,S001
227,S004
228,S001
229,S001
230,S004
231,S004
232,S001
233,S001
234,S004
235,S001
236,S001
237,S001
238,S004
239,S001
240,S004
241,S001
242,S001
243,S004
244,S001
245,S004
246,S004
247,S001
248,S003
249,S003
250,S001
251,S004
252,S001
253,S001
254,S004
255,S001
256,S001
257,S001
258,S004
259,S001
260,S001
261,S001
262,S001
263,S001
264,S004
265,S001
266,S001
267,S001
268,S004
269,S004
270,S004
271,S004
272,S004
273,S001
274,S003
275,S004
276,S001
277,S001
278,S004
279,S001
280,S001
281,S001
282,S001
283,S001
284,S001
285,S004
286,S001
287,S004
288,S001
289,S004
290,S001
291,S004
292,S004
293,S004
294,S001
295,S001
296,S001
297,S001
298,S001
299,S001
300,S001
301,S004
302,S001
303,S003
304,S001
305,S004
306,S001
307,S001
308,S001
309,S001
310,S004
311,S004
312,S004
313,S001
314,S001
315,S001
316,S003
317,S001
318,S004
319,S001
320,S001
321,S001
322,S004
323,S004
324,S001
325,S004
326,S001
327,S004
328,S001
329,S004
330,S004
331,S001
332,S001
333,S004
334,S001
335,S001
336,S001
337,S004
338,S004
339,S003
340,S004
341,S004
342,S004
343,S001
344,S001
345,S001
346,S004
347,S004
348,S001
349,S001
350,S003
351,S001
352,S001
353,S003
354,S001
355,S004
356,S004
357,S001
358,S001
359,S004
360,S004
361,S004
362,S004
363,S004
364,S001
365,S004
366,S003
367,S001
368,S001
369,S001
370,S004
371,S001
372,S004
373,S004
374,S001
375,S004
376,S001
377,S004
378,S004
379,S001
380,S003
381,S004
382,S001
383,S004
384,S004
385,S004
386,S004
387,S001
388,S001
389,S001
390,S004
391,S001
392,S004
393,S004
394,S004
395,S001
396,S004
397,S001
398,S001
399,S004
400,S001
401,S004
402,S004
403,S001
404,S004
405,S004
406,S001
407,S001
408,S004
409,S004
410,S004
411,S001
412,S001
413,S004
414,S004
415,S004
416,S001
417,S004
418,S001
419,S001
420,S004
421,S004
422,S004
423,S004
424,S004
425,S004
426,S004
427,S001
428,S003
429,S001
430,S004
431,S001
432,S001
433,S004
434,S001
435,S004
436,S004
437,S001
438,S001
439,S004
440,S004
441,S003
442,S004
443,S001
444,S001
445,S004
446,S004
447,S004
448,S001
449,S004
450,S001
451,S004
452,S001
453,S001
454,S004
455,S001
456,S001
457,S001
458,S004
459,S001
460,S001
461,S004
462,S004
463,S001
464,S003
465,S001
466,S004
467,S004
468,S004
469,S001
470,S004
471,S004
472,S004
473,S001
474,S004
475,S001
476,S004
477,S001
478,S001
479,S004
480,S004
481,S001
482,S001
483,S001
484,S004
485,S004
486,S001
487,S004
488,S004
489,S004
490,S004
491,S004
492,S001
493,S001
494,S004
495,S001
496,S004
497,S004
498,S001
499,S004
500,S003
501,S001
502,S001
503,S004
504,S001
505,S001
506,S004
507,S004
508,S001
509,S001
510,S004
511,S004
512,S001
513,S003
514,S001
515,S004
516,S004
517,S004
518,S004
519,S004
520,S004
521,S001
522,S001
523,S004
524,S004
525,S004
526,S001
527,S001
528,S004
529,S001
530,S001
531,S001
532,S001
533,S001
534,S004
535,S001
536,S001
537,S004
538,S001
539,S001
540,S001
541,S004
542,S004
543,S001
544,S001
545,S004
546,S001
547,S004
548,S004
549,S001
550,S001
551,S004
552,S004
553,S004
554,S001
555,S001
556,S004
557,S001
558,S001
559,S004
560,S004
561,S001
562,S001
563,S004
564,S004
565,S001
566,S001
567,S001
568,S001
569,S001
570,S004
571,S001
572,S004
573,S001
574,S001
575,S001
576,S001
577,S001
578,S004
579,S004
580,S001
581,S004
582,S004
583,S004
584,S004
585,S004
586,S001
587,S004
588,S001
589,S001
590,S004
591,S004
592,S001
593,S001
594,S001
595,S001
596,S004
597,S001
598,S001
599,S001
600,S001
601,S004
602,S001
603,S001
604,S004
605,S004
606,S004
607,S004
608,S004
609,S001
610,S001
611,S001
612,S001
613,S004
614,S004
615,S001
616,S004
617,S004
618,S004
619,S004
620,S001
621,S004
622,S001
623,S004
624,S004
625,S004
626,S004
627,S001
628,S001
629,S001
630,S001
631,S004
632,S001
633,S004
634,S001
635,S004
636,S001
637,S001
638,S004
639,S001
640,S004
641,S001
642,S001
643,S004
644,S004
645,S001
646,S001
647,S004
648,S001
649,S001
650,S004
651,S001
652,S001
653,S001
654,S004
655,S001
656,S003
657,S004
658,S001
659,S001
660,S004
661,S004
662,S004
663,S004
664,S004
665,S001
666,S001
667,S003
668,S004
669,S001
670,S004
671,S001
672,S004
673,S004
674,S001
675,S004
676,S001
677,S001
678,S003
679,S001
680,S004
681,S001
682,S004
683,S004
684,S001
685,S001
686,S001
687,S004
688,S004
689,S004
690,S004
691,S004
692,S004
693,S001
694,S004
695,S001
696,S001
697,S004
698,S004
699,S001
700,S004
701,S001
702,S001
703,S004
704,S004
705,S004
706,S004
707,S001
708,S001
709,S001
710,S001
711,S004
712,S004
713,S004
714,S001
715,S001
716,S001
717,S004
718,S001
719,S004
720,S001
721,S004
722,S001
723,S001
724,S004
725,S004
726,S004
727,S001
728,S001
729,S004
730,S001
731,S004
732,S004
733,S001
734,S004
735,S001
736,S004
737,S001
738,S004
739,S001
740,S004
741,S001
742,S001
743,S004
744,S001
745,S004
746,S004
747,S004
748,S003
749,S001
750,S001
751,S001
752,S004
753,S001
754,S001
755,S004
756,S001
757,S001
758,S004
759,S003
760,S001
761,S001
762,S001
763,S004
764,S001
765,S001
766,S001
767,S004
768,S001
769,S001
770,S001
771,S001
772,S001
773,S001
774,S004
775,S001
776,S001
777,S004
778,S001
779,S001
780,S001
781,S004
782,S003
783,S001
784,S004
785,S001
786,S004
787,S004
788,S001
789,S003
790,S001
791,S004
792,S001
793,S001
794,S001
795,S004
796,S004
797,S001
798,S004
799,S001
800,S001
801,S003
802,S004
803,S001
804,S001
805,S001
806,S001
807,S004
808,S001
809,S004
810,S004
811,S004
812,S001
813,S004
814,S001
815,S004
816,S004
817,S004
818,S001
819,S001
820,S004
821,S001
822,S001
823,S001
824,S001
825,S001
826,S004
827,S001
828,S004
829,S001
830,S003
831,S001
832,S001
833,S001
834,S001
835,S004
836,S001
837,S004
838,S001
839,S001
840,S004
841,S001
842,S004
843,S001
844,S004
845,S004
846,S001
847,S004
848,S001
849,S001
850,S001
851,S001
852,S001
853,S001
854,S001
855,S001
856,S004
857,S001
858,S004
859,S001
860,S004
861,S001
862,S001
863,S001
864,S004
865,S004
866,S001
867,S004
868,S001
869,S004
870,S004
871,S004
872,S001
873,S001
874,S004
875,S001
876,S004
877,S004
878,S001
879,S001
880,S004
881,S004
882,S004
883,S001
884,S001
885,S004
886,S001
887,S001
888,S004
889,S004
890,S003
891,S001
892,S004
893,S001
894,S004
895,S001
896,S004
897,S001
898,S004
899,S004
900,S001
901,S004
902,S001
903,S004
904,S004
905,S004
906,S004
907,S004
908,S004
909,S001
910,S001
911,S004
912,S003
913,S001
914,S004
915,S004
916,S001
917,S001
918,S001
919,S001
920,S001
921,S001
922,S001
923,S004
924,S001
925,S004
926,S003
927,S004
928,S001
929,S001
930,S001
931,S004
932,S004
933,S004
934,S004
935,S001
936,S004
937,S003
938,S001
939,S001
940,S001
941,S001
942,S001
943,S004
944,S001
945,S004
946,S004
947,S001
948,S004
949,S004
950,S004
951,S004
952,S004
953,S004
954,S004
955,S001
956,S004
957,S001
958,S001
959,S001
960,S001
961,S001
962,S001
963,S001
964,S001
965,S004
966,S004
967,S001
968,S004
969,S001
970,S004
971,S001
972,S004
973,S004
974,S001
975,S001
976,S001
977,S001
978,S004
979,S001
980,S004
981,S004
982,S004
983,S004
984,S004
985,S001
986,S001
987,S001
988,S004
989,S004
990,S001
